office_number,office_direction,municipality_name,province_name,postal_code,geo_extraction
3275.0,"Paseo Palmeras - Ps. Palmeras, S/n Esq.c/luis Manzano",Huelva,Huelva,21002,"['Paseo Palmeras, S/N Esq. C/Luis Manzano, 21002 Huelva, Spain', 37.2642931, -6.9538686, 'ChIJeUhfHSjQEQ0RqgLXi-O7M-8']"
3274.0,"La Orden - Av. Diego Moron, 18",Huelva,Huelva,21005,"['Av. de Diego Morón, 18, 21005 Huelva, Spain', 37.2802595, -6.940798399999999, 'ChIJrdr_k-nPEQ0RW2m_i3PIBuo']"
451.0,"Isla Chica - C/ Federico Molina, 47",Huelva,Huelva,21006,
3273.0,"Jose Fariña - Av. Jose Fariña, 67",Huelva,Huelva,21006,
3186.0,"Pz. De Las Flores, 10",Isla-cristina,Huelva,21410,
456.0,"Real - Real, 3",Lepe,Huelva,21440,
7074.0,"Arcipreste Borrego, S/n",Moguer,Huelva,21800,"['Calle Arcipreste Borrego, S/N, 21800 Moguer, Huelva, Spain', 37.276207, -6.8378302, 'ChIJ83NG1avEEQ0R-AhDDQiJ6lk']"
6788.0,"Pl Corazon De Jesus, 1",Palma-del-condado-(la),Huelva,21700,"['Plaza del Corazón de Jesús, 1, 21700 La Palma del Condado, Huelva, Spain', 37.3881021, -6.5532151, 'ChIJZ0tQJzzyEQ0Ra5tAWjqfSwg']"
3272.0,"Av. Andalucia, S/n",Punta-umbria,Huelva,21100,"['Av. Andalucia, S/N, 21100 Punta Umbría, Huelva, Spain', 37.1811714, -6.9673145, 'ChIJK-cUpSvREQ0RgvpdXmK0oZk']"
6783.0,"Pz. De España, 9",San-juan-del-puerto,Huelva,21610,"['Plaza de España, 9, 21610 San Juan del Puerto, Huelva, Spain', 37.3135593, -6.840751099999999, 'ChIJG5AE_H3EEQ0RVQZShwczlko']"
6545.0,"Valle De La Fuente, 34",Valverde-del-camino,Huelva,21600,
3353.0,"Miguel De Cervantes, 2",Alcala-la-real,Jaén,23680,
6639.0,"Av.blas Infante - Av. Blas Infante, S/n Local 1",Andujar,Jaén,23740,"['50-02 5th St 2nd Floor, Long Island City, NY 11101, USA', 40.7428355, -73.95674919999999, 'ChIJJb_nEprwZUAReM2u6MQzV9o']"
148.0,"C/ Ollerias, 16 - Ollerias, 16",Andujar,Jaén,23740,"['Calle Ollerías, 16, 26100 Torrecilla en Cameros, La Rioja, Spain', 42.2557, -2.63357, 'ChIJ6-xeATpGRQ0R8XnvpFbJHrI']"
1471.0,"Cervantes, 11",Arjona,Jaén,23760,
2550.0,"San Pablo - San Pablo, 21",Baeza,Jaén,23440,
3355.0,"Sebastian Elcano, 12",Bailen,Jaén,23710,
3350.0,"Madrid, 1",Carolina-(la),Jaén,23200,"['Calle Mayor, 1, 28013 Madrid, Spain', 40.4164779, -3.704431199999999, 'ChIJtVdpFn4oQg0RsG0zdLONMRw']"
5510.0,"Empresas - Plaza Dean Mazas, 2",Jaen,Jaén,23001,"['Plaza Dean Mazas, 2, 23001 Jaén, Spain', 37.7672356, -3.7884682, 'ChIJO7XJj3TXbQ0RZsm_6k1FQZU']"
6836.0,"Dean Mazas - Pz. Dean Mazas, 2",Jaen,Jaén,23001,
2561.0,"Av. Andalucia - Av. De Andalucia, 54",Jaen,Jaén,23006,"['Av. de Andalucía, 54, 23006 Jaén, Spain', 37.7780931, -3.7999155, 'ChIJtXW4NhfXbQ0R89L3czl4FCc']"
6150.0,"Plaza Por La Paz - Pl. Jaen Por La Paz, 6",Jaen,Jaén,23008,"['Plaza Jaén Por la Paz, 6, 23008 Jaén, Spain', 37.7804252, -3.7893268, 'ChIJPZ5s-AXXbQ0RukxAJOqgwFk']"
2551.0,"Paseo De La Estacion - Paseo De La Estacion, 44",Jaen,Jaén,23008,
3348.0,"Isaac Peral - Isaac Peral, 12",Linares,Jaén,23700,
