office_number,address,latitude,longitude,place_id
2114,"Av. de Granada, 17, 14009 Córdoba, Spain",37.8686186,-4.7758873,ChIJU7QGHo8gbQ0RWJ18J3M_xQQ
2369,"Calle Periodista Eduardo Baro, 14010 Córdoba, Spain",37.8780448,-4.76368,ChIJ1V69WnkgbQ0RLjACF4HSnrM
2103,"Av. de la Viñuela, 14010 Córdoba, Spain",37.8896449,-4.7629983,EilBdi4gZGUgbGEgVmnDsXVlbGEsIDE0MDEwIEPDs3Jkb2JhLCBTcGFpbiIuKiwKFAoSCal5KGmE32wNERq9HJlykteJEhQKEgnzaw5KqwRtDRGgIH3he9IDHA
5899,"Avenida Arroyo del Moro, 9, 14011 Córdoba, Spain",37.8895076,-4.7977645,ChIJM3GOxETfbA0REF111oML4Es
6982,"Calle Betis, 10, 14011 Córdoba, Spain",37.8928935,-4.7974831,ChIJNV6p3ETfbA0RgxL15iRXyfU
1544,"Calle Pablo Ruiz Picasso, 35, 14014 Córdoba, Spain",37.8879071,-4.7569422,ChIJE6quMo_fbA0RwkSrxVbWBjc
1630,"Av. Carlos III, 30, 32, 14014 Córdoba, Spain",37.8962894,-4.7589255,ChIJ2UEakpDfbA0R_bIoV_W7eKQ
5967,"Calle Ramón y Cajal, 2 - Derecha, 14520 Fernán-Núñez, Córdoba, Spain",37.6699881,-4.7258355,ChIJM50N5SoWbQ0RiO3uF14bPPI
7568,"Calle Corredera, 20, 14290 Fuente Obejuna, Córdoba, Spain",38.2650104,-5.4188322,ChIJEyIdtjxqEw0RSpXNS0sRD0M
6786,"Calle Carlos III, 18, 14120 Fuente Palmera, Córdoba, Spain",37.7064695,-5.103886999999999,ChIJDVvvy33SEg0RWJ7ONbXQ4qE
2089,"Av. Corredera, 1, 14270 Hinojosa del Duque, Córdoba, Spain",38.5004321,-5.147477200000001,ChIJAT8FZH5WEw0RyyjuOD7RBhA
7052,"Calle Puerta de la Muela, 9, 14970 Iznájar, Córdoba, Spain",37.2567849,-4.3075157,ChIJod7G0yiHbQ0R_W6sh2YyKBQ
6636,"Av. del Parque, 14900 Lucena, Córdoba, Spain",37.4113487,-4.4922221,ChIJla1Pt8VwbQ0RqHf6YZZUv5Q
3560,"Calle el Peso, 2, 14900 Lucena, Córdoba, Spain",37.4087921,-4.4862331,ChIJO4TSaclwbQ0R5BNE5SOYGOA
4400,"Av. de Andalucía, 56, 14550 Montilla, Córdoba, Spain",37.5813527,-4.6462054,ChIJ40KNkoIUbQ0R8DNJrruNij4
7668,"Calle Corredera, 85, C+P, 14600 Montoro, Córdoba, Spain",38.0237979,-4.3821105,EjhDK1AsIENhbGxlIENvcnJlZGVyYSwgODUsIDE0NjAwIE1vbnRvcm8sIEPDs3Jkb2JhLCBTcGFpbiIfGh0KFgoUChIJ3Y5BqjRWbA0RpWka-4GpeogSA0MrUA
4920,"Calle Feria, 38, 14700 Palma del Río, Córdoba, Spain",37.6993164,-5.2833993,ChIJ67VaxTDbEg0RZcBmZBKJcWg
5060,"Plaza Sta. Bárbara, 18, 14200 Peñarroya-Pueblonuevo, Córdoba, Spain",38.2992563,-5.2670049,ChIJDf7OZ8tFEw0RJhBJeb7nHr0
1589,"Calle Gaitan, 43, 14730 Posadas, Córdoba, Spain",37.8022773,-5.1063651,ChIJHRLT22DUEg0RArCYkN8ilMQ
1817,"Calle Mayor, 58, 14400 Pozoblanco, Córdoba, Spain",38.3805773,-4.849329099999999,ChIJvwh3Myq7bA0RuMeT5k8pulk
1519,"Calle Carrera de las Monjas, 9, 14800 Priego de Córdoba, Córdoba, Spain",37.4382918,-4.1951814,ChIJT97UDv-QbQ0RscEGMO5pn5A
5237,"Esq. P. Picasso, Av. de la Estación, 2-4, 14500 Puente Genil, Córdoba, Spain",37.3928608,-4.7638212,ChIJxQNOY91CbQ0REOnDWLsT5eM
3262,"Plaza Paseo del Romeral, 14, 14500 Puente Genil, Córdoba, Spain",37.3895643,-4.7711147,ChIJYQFy6CBDbQ0Ra7iry_j7exs
3271,"Calle Alta, 20, 14640 Villa del Río, Córdoba, Spain",37.9810212,-4.2907358,ChIJ2R3XuN5TbA0Rg9iwwfBoTA4
6973,"Paseo de Colón, 10, 18220 Albolote, Granada, Spain",37.2292736,-3.6528978,ChIJrZIgQeX9cQ0R6cgyel1LeQ8
7376,"Av. de Andalucia, S-N Esq. Cerveteri, 18690 Almuñécar, Granada, Spain",36.7328096,-3.6885644,ChIJnzYMRZqIcQ0R3M8SoTSIrjM
520,"Calle Poniente, 23, 18100 Armilla, Granada, Spain",37.1431514,-3.629093199999999,ChIJ4ztIZJv7cQ0R278N5Xl1630
1571,"Av. de Andalucía, 55, 18230 Atarfe, Granada, Spain",37.2230453,-3.6868061,ChIJB98Dij7-cQ0RwLrX-rydpMI
1101,"Calle Dolores, 2, C+P, 18800 Baza, Granada, Spain",37.49045,-2.77341,EjFDK1AsIENhbGxlIERvbG9yZXMsIDIsIDE4ODAwIEJhemEsIEdyYW5hZGEsIFNwYWluIh8aHQoWChQKEglni8GM2elvDRHk9NnYQI99SRIDQytQ
6443,"Calle San Ramón, 34, 18194 Churriana de la Vega, Granada, Spain",37.1454624,-3.6436991,ChIJndWqhfL7cQ0RfVqsSrj0bzU
3341,"18850 Cúllar, Granada, Spain",37.5828301,-2.5705729,ChIJv0VZMB7zbw0RBbPhuTSenrU
2745,"Calle Real de Málaga, 6, 18110 Gabia Grande, Granada, Spain",37.1360818,-3.6677806,ChIJ164sxF35cQ0R1Aj5D5nblW8
3387,"Calle, Camino de Ronda, 138, 18003 Granada, Spain",37.1770286,-3.609737899999999,ChIJd9K-wpL8cQ0RU3SwNoy7r28
7086,"Calle, Camino de Ronda, 74, 18004 Granada, Spain",37.17017999999999,-3.6053583,ChIJjYqvJpf8cQ0R5VM-UszYuDA
463,"Calle Alhamar, 12-14, 18005 Granada, Spain",37.1690962,-3.600927099999999,ChIJHa4WaL38cQ0RSxuXUXJTKCE
3388,"Av. de Cadiz, 4, 18006 Granada, Spain",37.1606678,-3.5999048,ChIJ_0zcuaH8cQ0RfFGFHY00_lA
2109,"Paseo del Emperador Carlos V, 1, 18001 Granada, Spain",37.1534883,-3.594084799999999,ChIJU33hWqf8cQ0R-Lmhpn42uxA
2112,"Edificio Sofía Residencial Bola de Oro, s/n, 18008 Granada, Spain",37.1612279,-3.5864086,ChIJB5zCA6_8cQ0RLiWcsrIj2lk
3340,"Calle Poeta Manuel Gongora, 3, 18008 Granada, Spain",37.1670287,-3.5954656,ChIJO5s05aT8cQ0RrTRWnMCSVmw
2900,"Plaza Isabel la Católica, 1, 18009 Granada, Spain",37.1758001,-3.5971493,ChIJQVYa3778cQ0RnP_B1Rt_95c
7565,"Calle Ángel Ganivet, 8, 18009 Granada, Spain",37.1725963,-3.597529900000001,ChIJT1pwJLz8cQ0RHLi9Z1PkYiw
440,"Plaza Virgen del Carmen, 3, 18009 Granada, Spain",37.1796032,-3.5941996,ChIJ55jfi778cQ0Rk0Ye_fTKOCw
3344,"Av. de Madrid, 1, 18012 Granada, Spain",37.1846632,-3.6046766,ChIJ12m8cen8cQ0RXNea3Kar9Lw
2903,"Av. de la Constitución, 42, 18012 Granada, Spain",37.1865048,-3.6086812,ChIJfWDqAu_8cQ0RZvz7FDsoS-o
3391,"Carr. de Jaén, 34, C+P, 18013 Granada, Spain",37.1949699,-3.6086333,Ei1DK1AsIENhcnIuIGRlIEphw6luLCAzNCwgMTgwMTMgR3JhbmFkYSwgU3BhaW4iIxohChoSGAoUChIJmTXrnOP8cQ0R0S9-FbbK9RcQIhIDQytQ
6099,"Av. Federico García Lorca, 7, 18014 Granada, Spain",37.1984176,-3.6167928,ChIJ96iDC-b8cQ0R87I8w7rzdqA
2031,"Calle Gaviota, 12, 18014 Granada, Spain",37.1856841,-3.6124548,ChIJD54H0vH8cQ0RbA6--aSZ0a8
444,"Calle Sagrada Familia, 19, 18015 Granada, Spain",37.1909753,-3.6247969,ChIJd8f3Alf8cQ0RTr-mCfOtFLM
2956,"Av. Medina Olmos, S-N, 18500 Guadix, Granada, Spain",37.3019194,-3.1341145,ChIJN1-gFgErbg0RKham8DNcwHw
446,"Plaza Primero de Mayo, 3, 18360 Huétor Tájar, Granada, Spain",37.1945513,-4.046643299999999,ChIJEWtFs-cKcg0RZEvN9el2IA8
3346,"Av. Rodríguez de la Fuente de Íllora, 24, 18260 Íllora, Granada, Spain",37.285458,-3.8786727,ChIJiZfm8LD5bQ0RQbihf0WhA7Q
3520,"Calle, Carrera de San Agustín, 9, 18300 Loja, Granada, Spain",37.1666806,-4.1493771,ChIJBz_sLyd0cg0RCT6dDWnq2cI
4276,"Calle Pedro Arroyo, 18200 Maracena, Granada, Spain",37.2082522,-3.6316938,ChIJP7dGILD9cQ0R2sUfVdvI9TU
7665,"Plaza de la Aurora, 7, 18600 Motril, Granada, Spain",36.7451296,-3.5161165,ChIJC40sPbyQcQ0RR4e6dnCNYpM
2095,"Calle Ancha, 12, C+P, 18600 Motril, Granada, Spain",36.7522749,-3.5168497,EjJDK1AsIENhbGxlIEFuY2hhLCAxMiwgMTg2MDAgTW90cmlsLCBHcmFuYWRhLCBTcGFpbiIfGh0KFgoUChIJ0-RrmMCQcQ0R0a0Eoa-7E2gSA0MrUA
7025,"Calle Cruces, 2 Bq. 3 Local 6, 18151 Ogíjares, Granada, Spain",37.1204825,-3.6059913,ChIJVSrnPhn7cQ0R0jT3Oyyz1Kc
5100,"Calle Real de Pinos Puente, 172, 18240 Pinos Puente, Granada, Spain",37.2513561,-3.7495295,ChIJw3f3ieT_bQ0RgRTqJnA-1Gs
455,"Paseo del, Paseo Señor de la Salud, 1, 18320 Santa Fe, Granada, Spain",37.1901914,-3.7155322,ChIJpwqaJw__cQ0RgNdFl_200JA
6129,"Av. Madrid, s/n, 18140 La Zubia, Granada, Spain",37.1192481,-3.5840233,ChIJM1syoCv7cQ0Rrtx7ncFtZFo
7014,"21120 Corrales, Huelva, Spain",37.2737055,-6.988369199999999,ChIJTWJUcBfOEQ0RP5QhcQqRoPQ
1456,"Calle Venida de la Virgen, 20, 21730 Almonte, Huelva, Spain",37.2613269,-6.5170596,ChIJY6ipIEf6EQ0RC5JURASo4r4
6789,"21200 Aracena, Huelva, Spain",37.8935487,-6.561888400000001,ChIJsUyFehB6EQ0RDFHEAy6_OBA
